"num_code","alpha_code","minor_unit","name"        ,"symbol"
"000"     ,"BTC"       ,8           ,"Bitcoin"     ,"BTC"
"001"     ,"LTC"       ,8           ,"Litecoin"    ,"Ł"
"003"     ,"XRP"       ,8           ,"Ripple"      ,"XRP"
"004"     ,"ETH"       ,8           ,"Ethereum"    ,"ETH"
"005"     ,"BCH"       ,8           ,"Bitcoin Cash","BCH"
"006"     ,"DASH"      ,8           ,"Dashcoin"    ,"DASH"
"007"     ,"USDT"      ,8           ,"Tether USD"  ,"₮"
"008"     ,"DOGE"      ,8           ,"Dogecoin"    ,"Ɖ"
"009"     ,"TRX"       ,8           ,"Tron"        ,"TRX"
"010"     ,"BNB"       ,8           ,"Binance Coin","BNB"
"011"     ,"XLM"       ,8           ,"Stellar"     ,"XLM"
"012"     ,"USDC"      ,8           ,"USD Coin"    ,"USDC"
"013"     ,"ADA"       ,8           ,"Cardano"     ,"ADA"
"015"     ,"XMR"       ,8           ,"Monero"      ,"XMR"
"016"     ,"ALGO"      ,8           ,"Algorand"    ,"ALGO"
"017"     ,"MATIC"     ,8           ,"Polygon"     ,"MATIC
"018"     ,"SOL"       ,8           ,"Solana"      ,"SOL"
"019"     ,"AVAX"      ,8           ,"Avalanche"   ,"AVAX"
"020"     ,"ATOM"      ,8           ,"Cosmos"      ,"ATOM"
